X,CH1,CH2
253,0.08813249,0.18507823
254,0.05752061,0.12079329
255,0.02685455,0.05639455
256,-0.00383682,-0.00805731
257,-0.03452457,-0.07250159
258,-0.06517979,-0.13687756
259,-0.09577361,-0.20112459
260,-0.12627721,-0.26518213
261,-0.15666184,-0.32898986
262,-0.18689888,-0.39248764
263,-0.21695984,-0.45561567
264,-0.24681642,-0.51831447
265,-0.27644047,-0.58052498
266,-0.30580409,-0.64218858
267,-0.33487961,-0.70324719
268,-0.36363965,-0.76364327
269,-0.39205712,-0.82331994
270,-0.42010523,-0.88222098
271,-0.44775756,-0.94029088
272,-0.47498807,-0.99747496
273,-0.50177111,-1.05371932
274,-0.52808143,-1.10897100
275,-0.55389425,-1.16317793
276,-0.57918526,-1.21628904
277,-0.60393062,-1.26825431
278,-0.62810704,-1.31902478
279,-0.65169172,-1.36855261
280,-0.67466245,-1.41679115
281,-0.69699760,-1.46369496
282,-0.71867611,-1.50921984
283,-0.73967757,-1.55332290
284,-0.75998219,-1.59596261
285,-0.77957085,-1.63709878
286,-0.79842508,-1.67669267
287,-0.81652713,-1.71470697
288,-0.83385994,-1.75110587
289,-0.85040718,-1.78585508
290,-0.86615327,-1.81892187
291,-0.88108337,-1.85027507
292,-0.89518341,-1.87988516
293,-0.90844012,-1.90772424
294,-0.92084099,-1.93376608
295,-0.93237436,-1.95798615
296,-0.94302935,-1.98036163
297,-0.95279593,-2.00087145
298,-0.96166489,-2.01949627
299,-0.96962788,-2.03621855
300,-0.97667740,-2.05102255
301,-0.98280681,-2.06389431
302,-0.98801033,-2.07482170
303,-0.99228307,-2.08379444
304,-0.99562098,-2.09080407
305,-0.99802094,-2.09584398
306,-0.99948068,-2.09890943
307,-0.99999882,-2.09999753
308,-0.99957488,-2.09910725
309,-0.99820926,-2.09623944
310,-0.99590323,-2.09139679
311,-0.99265898,-2.08458387
312,-0.98847957,-2.07580709
313,-0.98336892,-2.06507473
314,-0.97733185,-2.05239689
315,-0.97037406,-2.03778552
316,-0.96250209,-2.02125439
317,-0.95372336,-2.00281906
318,-0.94404614,-1.98249690
319,-0.93347956,-1.96030707
320,-0.92203355,-1.93627046
321,-0.90971891,-1.91040972
322,-0.89654724,-1.88274921
323,-0.88253095,-1.85331499
324,-0.86768324,-1.82213480
325,-0.85201809,-1.78923800
326,-0.83555028,-1.75465558
327,-0.81829530,-1.71842013
328,-0.80026942,-1.68056578
329,-0.78148962,-1.64112820
330,-0.76197359,-1.60014454
331,-0.74173971,-1.55765340
332,-0.72080706,-1.51369482
333,-0.69919534,-1.46831022
334,-0.67692492,-1.42154234
335,-0.65401678,-1.37343524
336,-0.63049250,-1.32403426
337,-0.60637425,-1.27338592
338,-0.58168474,-1.22153795
339,-0.55644723,-1.16853918
340,-0.53068550,-1.11443955
341,-0.50442382,-1.05929003
342,-0.47768693,-1.00314256
343,-0.45050002,-0.94605005
344,-0.42288870,-0.88806628
345,-0.39487899,-0.82924587
346,-0.36649726,-0.76964425
347,-0.33777026,-0.70931755
348,-0.30872506,-0.64832262
349,-0.27938901,-0.58671691
350,-0.24978975,-0.52455847
351,-0.21995516,-0.46190585
352,-0.18991337,-0.39881807
353,-0.15969265,-0.33535457
354,-0.12932150,-0.27157514
355,-0.09882851,-0.20753986
356,-0.06824241,-0.14330907
357,-0.03759203,-0.07894326
358,-0.00690623,-0.01450308
359,0.02378607,0.04995076
360,0.05445597,0.11435754
361,0.08507456,0.17865659
362,0.11561301,0.24278732
363,0.14604254,0.30668934
364,0.17633449,0.37030242
365,0.20646031,0.43356665
366,0.23639163,0.49642242
367,0.26610025,0.55881052
368,0.29555818,0.62067218
369,0.32473767,0.68194910
370,0.35361123,0.74258358
371,0.38215165,0.80251847
372,0.41033206,0.86169733
373,0.43812590,0.92006440
374,0.46550699,0.97756468
375,0.49244953,1.03414402
376,0.51892815,1.08974911
377,0.54491788,1.14432756
378,0.57039426,1.19782795
379,0.59533328,1.25019989
380,0.61971145,1.30139404
381,0.64350579,1.35136216
382,0.66669390,1.40005719
383,0.68925393,1.44743324
384,0.71116462,1.49344569
385,0.73240533,1.53805119
386,0.75295605,1.58120771
387,0.77279743,1.62287460
388,0.79191077,1.66301261
389,0.81027805,1.70158391
390,0.82788199,1.73855218
391,0.84470600,1.77388259
392,0.86073421,1.80754185
393,0.87595155,1.83949825
394,0.89034366,1.86972169
395,0.90389700,1.89818369
396,0.91659878,1.92485745
397,0.92843706,1.94971782
398,0.93940066,1.97274139
399,0.94947928,1.99390648
400,0.95866340,2.01319313
401,0.96694438,2.03058319
402,0.97431441,2.04606027
403,0.98076656,2.05960978
404,0.98629475,2.07121897
405,0.99089376,2.08087689
406,0.99455926,2.08857445
407,0.99728781,2.09430440
408,0.99907683,2.09806134
409,0.99992463,2.09984172
410,0.99983042,2.09964387
411,0.99879428,2.09746799
412,0.99681719,2.09331611
413,0.99390102,2.08719215
414,0.99004851,2.07910187
415,0.98526329,2.06905291
416,0.97954987,2.05705472
417,0.97291363,2.04311862
418,0.96536082,2.02725772
419,0.95689856,2.00948697
420,0.94753482,1.98982312
421,0.93727842,1.96828469
422,0.92613903,1.94489196
423,0.91412714,1.91966699
424,0.90125406,1.89263352
425,0.88753192,1.86381703
426,0.87297365,1.83324467
427,0.85759297,1.80094524
428,0.84140436,1.76694916
429,0.82442308,1.73128847
430,0.80666512,1.69399675
431,0.78814722,1.65510915
432,0.76888681,1.61466230
433,0.74890205,1.57269430
434,0.72821175,1.52924468
435,0.70683542,1.48435439
436,0.68479320,1.43806571
437,0.66210583,1.39042225
438,0.63879471,1.34146890
439,0.61488179,1.29125177
440,0.59038960,1.23981817
441,0.56534122,1.18721655
442,0.53976023,1.13349648
443,0.51367074,1.07870856
444,0.48709733,1.02290440
445,0.46006504,0.96613658
446,0.43259932,0.90845858
447,0.40472606,0.84992473
448,0.37647151,0.79059018
449,0.34786230,0.73051083
450,0.31892537,0.66974328
451,0.28968798,0.60834477
452,0.26017769,0.54637314
453,0.23042228,0.48388679
454,0.20044980,0.42094458
455,0.17028848,0.35760580
456,0.13996673,0.29393013
457,0.10951312,0.22997754
458,0.07895634,0.16580830
459,0.04832517,0.10148286
460,0.01764848,0.03706181
461,-0.01304484,-0.02739416
462,-0.04372586,-0.09182431
463,-0.07436570,-0.15616797
464,-0.10493547,-0.22036450
465,-0.13540639,-0.28435342
466,-0.16574974,-0.34807446
467,-0.19593695,-0.41146759
468,-0.22593956,-0.47447308
469,-0.25572932,-0.53703157
470,-0.28527816,-0.59908414
471,-0.31455825,-0.66057232
472,-0.34354199,-0.72143818
473,-0.37220209,-0.78162438
474,-0.40051154,-0.84107423
475,-0.42844368,-0.89973172
476,-0.45597218,-0.95754158
477,-0.48307113,-1.01444936
478,-0.50971497,-1.07040144
479,-0.53587863,-1.12534512
480,-0.56153744,-1.17922862
481,-0.58666723,-1.23200119
482,-0.61124434,-1.28361310
483,-0.63524560,-1.33401575
484,-0.65864840,-1.38316164
485,-0.68143070,-1.43100448
486,-0.70357104,-1.47749919
487,-0.72504855,-1.52260196
488,-0.74584301,-1.56627032
489,-0.76593482,-1.60846312
490,-0.78530505,-1.64914061
491,-0.80393546,-1.68826447
492,-0.82180850,-1.72579785
493,-0.83890732,-1.76170537
494,-0.85521582,-1.79595322
495,-0.87071863,-1.82850913
496,-0.88540116,-1.85934243
497,-0.89924956,-1.88842407
498,-0.91225079,-1.91572665
499,-0.92439260,-1.94122446
500,-0.93566356,-1.96489347
501,-0.94605304,-1.98671139
502,-0.95555126,-2.00665765
503,-0.96414927,-2.02471347
504,-0.97183897,-2.04086184
505,-0.97861312,-2.05508755
506,-0.98446533,-2.06737719
507,-0.98939009,-2.07771918
508,-0.99338276,-2.08610379
509,-0.99643958,-2.09252311
510,-0.99855767,-2.09697110
511,-0.99973503,-2.09944356
512,-0.99997056,-2.09993817
513,-0.99926403,-2.09845446
514,-0.99761611,-2.09499383
515,-0.99502835,-2.08955953
516,-0.99150319,-2.08215670
517,-0.98704395,-2.07279229
518,-0.98165483,-2.06147514
519,-0.97534091,-2.04821591
520,-0.96810813,-2.03302708
521,-0.95996332,-2.01592297
522,-0.95091414,-1.99691969
523,-0.94096912,-1.97603514
524,-0.93013762,-1.95328900
525,-0.91842986,-1.92870270
526,-0.90585685,-1.90229939
527,-0.89243046,-1.87410396
528,-0.87816331,-1.84414296
529,-0.86306887,-1.81244462
530,-0.84716134,-1.77903881
531,-0.83045571,-1.74395699
532,-0.81296772,-1.70723222
533,-0.79471385,-1.66889909
534,-0.77571129,-1.62899371
535,-0.75597795,-1.58755369
536,-0.73553240,-1.54461805
537,-0.71439393,-1.50022725
538,-0.69258244,-1.45442312
539,-0.67011847,-1.40724879
540,-0.64702320,-1.35874871
541,-0.62331837,-1.30896858
542,-0.59902633,-1.25795529
543,-0.57416995,-1.20575690
544,-0.54877266,-1.15242258
545,-0.52285838,-1.09800259
546,-0.49645152,-1.04254818
547,-0.46957696,-0.98611161
548,-0.44226001,-0.92874603
549,-0.41452643,-0.87050549
550,-0.38640232,-0.81144487
551,-0.35791419,-0.75161980
552,-0.32908887,-0.69108663
553,-0.29995353,-0.62990241
554,-0.27053560,-0.56812476
555,-0.24086281,-0.50581189
556,-0.21096310,-0.44302251
557,-0.18086465,-0.37981576
558,-0.15059580,-0.31625119
559,-0.12018509,-0.25238868
560,-0.08966115,-0.18828841
561,-0.05905274,-0.12401075
562,-0.02838869,-0.05961626
563,0.00230209,0.00483440
564,0.03299071,0.06928049
565,0.06364825,0.13366132
566,0.09424583,0.19791623
567,0.12475461,0.26198469
568,0.15514587,0.32580633
569,0.18539097,0.38932104
570,0.21546142,0.45246897
571,0.24532888,0.51519064
572,0.27496522,0.57742696
573,0.30434252,0.63911929
574,0.33343310,0.70020951
575,0.36220956,0.76064008
576,0.39064479,0.82035407
577,0.41871200,0.87929521
578,0.44638475,0.93740797
579,0.47363696,0.99463763
580,0.50044297,1.05093024
581,0.52677752,1.10623280
582,0.55261580,1.16049318
583,0.57793347,1.21366029
584,0.60270668,1.26568402
585,0.62691208,1.31651538
586,0.65052689,1.36610646
587,0.67352884,1.41441055
588,0.69589626,1.46138216
589,0.71760810,1.50697701
590,0.73864389,1.55115217
591,0.75898381,1.59386600
592,0.77860871,1.63507829
593,0.79750009,1.67475019
594,0.81564016,1.71284433
595,0.83301182,1.74932483
596,0.84959872,1.78415731
597,0.86538522,1.81730897
598,0.88035646,1.84874857
599,0.89449833,1.87844649
600,0.90779751,1.90637476
601,0.92024146,1.93250706
602,0.93181846,1.95681878
603,0.94251762,1.97928700
604,0.95232884,1.99989057
605,0.96124289,2.01861007
606,0.96925137,2.03542788
607,0.97634673,2.05032813
608,0.98252229,2.06329681
609,0.98777223,2.07432168
610,0.99209160,2.08339236
611,0.99547634,2.09050032
612,0.99792326,2.09563884
613,0.99943005,2.09880310
614,0.99999529,2.09999011
615,0.99961845,2.09919875
616,0.99829989,2.09642976
617,0.99604084,2.09168576
618,0.99284344,2.08497121
619,0.98871069,2.07629245
620,0.98364650,2.06565764
621,0.97765562,2.05307681
622,0.97074372,2.03856181
623,0.96291729,2.02212630
624,0.95418371,2.00378579
625,0.94455121,1.98355753
626,0.93402886,1.96146060
627,0.92262658,1.93751581
628,0.91035510,1.91174571
629,0.89722599,1.88417459
630,0.88325162,1.85482841
631,0.86844516,1.82373483
632,0.85282054,1.79092313
633,0.83639249,1.75642424
634,0.81917650,1.72027064
635,0.80118876,1.68249640
636,0.78244624,1.64313711
637,0.76296659,1.60222985
638,0.74276817,1.55981315
639,0.72186999,1.51592697
640,0.70029174,1.47061266
641,0.67805377,1.42391291
642,0.65517701,1.37587171
643,0.63168301,1.32653433
644,0.60759392,1.27594723
645,0.58293242,1.22415809
646,0.55772175,1.17121569
647,0.53198567,1.11716990
648,0.50574840,1.06207164
649,0.47903468,1.00597282
650,0.45186966,0.94892629
651,0.42427895,0.89098579
652,0.39628853,0.83220591
653,0.36792477,0.77264202
654,0.33921440,0.71235023
655,0.31018445,0.65138735
656,0.28086229,0.58981081
657,0.25127553,0.52767862
658,0.22145205,0.46504930
659,0.19141994,0.40198188
660,0.16120750,0.33853575
661,0.13084319,0.27477069
662,0.10035561,0.21074677
663,0.06977348,0.14652432
664,0.03912563,0.08216382
665,0.00844092,0.01772592
666,-0.02225175,-0.04672868
667,-0.05292345,-0.11113925
668,-0.08354530,-0.17544513
669,-0.11408844,-0.23958572
670,-0.14452409,-0.30350060
671,-0.17482360,-0.36712956
672,-0.20495840,-0.43041265
673,-0.23490012,-0.49329025
674,-0.26462054,-0.55570313
675,-0.29409167,-0.61759250
676,-0.32328573,-0.67890004
677,-0.35217524,-0.73956800
678,-0.38073296,-0.79953922
679,-0.40893200,-0.85875721
680,-0.43674580,-0.91716617
681,-0.46414814,-0.97471109
682,-0.49111321,-1.03133775
683,-0.51761562,-1.08699280
684,-0.54363039,-1.14162381
685,-0.56913301,-1.19517932
686,-0.59409946,-1.24760886
687,-0.61850622,-1.29886306
688,-0.64233029,-1.34889361
689,-0.66554923,-1.39765339
690,-0.68814117,-1.44509646
691,-0.71008482,-1.49117813
692,-0.73135952,-1.53585498
693,-0.75194521,-1.57908493
694,-0.77182250,-1.62082725
695,-0.79097267,-1.66104261
696,-0.80937768,-1.69969313
697,-0.82702018,-1.73674239
698,-0.84388357,-1.77215549
699,-0.85995194,-1.80589907
700,-0.87521016,-1.83794135
701,-0.88964387,-1.86825212
702,-0.90323945,-1.89680285
703,-0.91598411,-1.92356662
704,-0.92786583,-1.94851824
705,-0.93887342,-1.97163418
706,-0.94899651,-1.99289268
707,-0.95822557,-2.01227370
708,-0.96655190,-2.02975899
709,-0.97396766,-2.04533208
710,-0.98046585,-2.05897829
711,-0.98604037,-2.07068477
712,-0.99068595,-2.08044049
713,-0.99439822,-2.08823625
714,-0.99717368,-2.09406473
715,-0.99900972,-2.09792041
716,-0.99990461,-2.09979968
717,-0.99985750,-2.09970075
718,-0.99886845,-2.09762374
719,-0.99693837,-2.09357058
720,-0.99406909,-2.08754510
721,-0.99026332,-2.07955298
722,-0.98552464,-2.06960174
723,-0.97985750,-2.05770076
724,-0.97326726,-2.04386125
725,-0.96576012,-2.02809626
726,-0.95734315,-2.01042062
727,-0.94802428,-1.99085100
728,-0.93781230,-1.96940583
729,-0.92671681,-1.94610531
730,-0.91474828,-1.92097139
731,-0.90191798,-1.89402776
732,-0.88823799,-1.86529979
733,-0.87372121,-1.83481455
734,-0.85838132,-1.80260076
735,-0.84223275,-1.76868877
736,-0.82529073,-1.73311052
737,-0.80757121,-1.69589954
738,-0.78909089,-1.65709088
739,-0.76986719,-1.61672109
740,-0.74991820,-1.57482822
741,-0.72926273,-1.53145173
742,-0.70792023,-1.48663247
743,-0.68591080,-1.44041269
744,-0.66325520,-1.39283591
745,-0.63997475,-1.34394697
746,-0.61609139,-1.29379191
747,-0.59162762,-1.24241799
748,-0.56660648,-1.18987361
749,-0.54105156,-1.13620827
750,-0.51498691,-1.08147252
751,-0.48843711,-1.02571793
752,-0.46142716,-0.96899704
753,-0.43398250,-0.91136326
754,-0.40612900,-0.85287090
755,-0.37789289,-0.79357507
756,-0.34930077,-0.73353162
757,-0.32037958,-0.67279712
758,-0.29115656,-0.61142879
759,-0.26165926,-0.54948444
760,-0.23191544,-0.48702243
761,-0.20195314,-0.42410160
762,-0.17180059,-0.36078124
763,-0.14148618,-0.29712099
764,-0.11103849,-0.23318082
765,-0.08048618,-0.16902098
766,-0.04985805,-0.10470191
767,-0.01918295,-0.04028420
768,0.01151022,0.02417147
769,0.04219255,0.08860436
770,0.07283513,0.15295377
771,0.10340909,0.21715910
772,0.13388564,0.28115984
773,0.16423605,0.34489570
774,0.19443174,0.40830664
775,0.22444425,0.47133293
776,0.25424532,0.53391518
777,0.28380687,0.59599443
778,0.31310105,0.65751221
779,0.34210026,0.71841055
780,0.37077719,0.77863209
781,0.39910481,0.83812010
782,0.42705644,0.89681852
783,0.45460575,0.95467207
784,0.48172678,1.01162623
785,0.50839398,1.06762735
786,0.53458223,1.12262268
787,0.56026686,1.17656041
788,0.58542367,1.22938971
789,0.61002897,1.28106083
790,0.63405956,1.33152508
791,0.65749282,1.38073492
792,0.68030666,1.42864398
793,0.70247960,1.47520715
794,0.72399074,1.52038055
795,0.74481982,1.56412161
796,0.76494721,1.60638915
797,0.78435396,1.64714332
798,0.80302179,1.68634575
799,0.82093310,1.72395950
800,0.83807102,1.75994914
801,0.85441940,1.79428075
802,0.86996286,1.82692200
803,0.88468673,1.85784213
804,0.89857715,1.88701202
805,0.91162104,1.91440418
806,0.92380610,1.93999281
807,0.93512086,1.96375381
808,0.94555466,1.98566478
809,0.95509766,2.00570509
810,0.96374088,2.02385585
811,0.97147618,2.04009997
812,0.97829626,2.05442214
813,0.98419470,2.06680887
814,0.98916595,2.07724850
815,0.99320532,2.08573118
816,0.99630901,2.09224892
817,0.99847409,2.09679559
818,0.99969852,2.09936690
819,0.99998116,2.09996043
820,0.99932172,2.09857562
821,0.99772084,2.09521377
822,0.99518002,2.08987805
823,0.99170166,2.08257349
824,0.98728903,2.07330697
825,0.98194630,2.06208722
826,0.97567848,2.04892481
827,0.96849149,2.03383214
828,0.96039211,2.01682342
829,0.95138795,1.99791469
830,0.94148750,1.97712375
831,0.93070009,1.95447020
832,0.91903589,1.92997536
833,0.90650587,1.90366233
834,0.89312185,1.87555589
835,0.87889643,1.84568251
836,0.86384302,1.81407035
837,0.84797580,1.78074917
838,0.83130971,1.74575038
839,0.81386045,1.70910695
840,0.79564447,1.67085339
841,0.77667893,1.63102575
842,0.75698168,1.58966154
843,0.73657130,1.54679973
844,0.71546701,1.50248071
845,0.69368868,1.45674623
846,0.67125684,1.40963937
847,0.64819262,1.36120450
848,0.62451775,1.31148727
849,0.60025453,1.26053451
850,0.57542582,1.20839421
851,0.55005500,1.15511551
852,0.52416599,1.10074859
853,0.49778317,1.04534467
854,0.47093140,0.98895594
855,0.44363597,0.93163554
856,0.41592260,0.87343746
857,0.38781739,0.81441652
858,0.35934683,0.75462834
859,0.33053773,0.69412923
860,0.30141724,0.63297619
861,0.27201278,0.57122684
862,0.24235207,0.50893934
863,0.21246304,0.44617238
864,0.18237385,0.38298509
865,0.15211285,0.31943699
866,0.12170855,0.25558796
867,0.09118959,0.19149813
868,0.06058472,0.12722791
869,0.02992277,0.06283782
870,-0.00076737,-0.00161147
871,-0.03145678,-0.06605923
872,-0.06211656,-0.13044477
873,-0.09271782,-0.19470741
874,-0.12323173,-0.25878663
875,-0.15362954,-0.32262204
876,-0.18388263,-0.38615352
877,-0.21396248,-0.44932121
878,-0.24384076,-0.51206560
879,-0.27348932,-0.57432758
880,-0.30288023,-0.63604849
881,-0.33198581,-0.69717019
882,-0.36077862,-0.75763510
883,-0.38923155,-0.81738626
884,-0.41731779,-0.87636736
885,-0.44501088,-0.93452286
886,-0.47228474,-0.99179795
887,-0.49911366,-1.04813869
888,-0.52547238,-1.10349199
889,-0.55133605,-1.15780571
890,-0.57668032,-1.21102868
891,-0.60148131,-1.26311075
892,-0.62571565,-1.31400287
893,-0.64936052,-1.36365709
894,-0.67239363,-1.41202662
895,-0.69479329,-1.45906591
896,-0.71653840,-1.50473063
897,-0.73760846,-1.54897777
898,-0.75798364,-1.59176565
899,-0.77764473,-1.63305394
900,-0.79657322,-1.67280376
901,-0.81475126,-1.71097765
902,-0.83216174,-1.74753966
903,-0.84878826,-1.78245534
904,-0.86461514,-1.81569180
905,-0.87962748,-1.84721772
906,-0.89381114,-1.87700340
907,-0.90715276,-1.90502079
908,-0.91963976,-1.93124349
909,-0.93126038,-1.95564679
910,-0.94200367,-1.97820771
911,-0.95185952,-1.99890498
912,-0.96081863,-2.01771912
913,-0.96887257,-2.03463240
914,-0.97601375,-2.04962888
915,-0.98223545,-2.06269444
916,-0.98753179,-2.07381677
917,-0.99189780,-2.08298538
918,-0.99532936,-2.09019165
919,-0.99782323,-2.09542877
920,-0.99937706,-2.09869183
921,-0.99998940,-2.09997774
922,-0.99965966,-2.09928530
923,-0.99838816,-2.09661514
924,-0.99617610,-2.09196980
