X,CH1
431,0.78814722
432,0.76888681
433,0.74890205
434,0.72821175
435,0.70683542
436,0.68479320
437,0.66210583
438,0.63879471
439,0.61488179
440,0.59038960
441,0.56534122
442,0.53976023
443,0.51367074
444,0.48709733
445,0.46006504
446,0.43259932
447,0.40472606
448,0.37647151
449,0.34786230
450,0.31892537
451,0.28968798
452,0.26017769
453,0.23042228
454,0.20044980
455,0.17028848
456,0.13996673
457,0.10951312
458,0.07895634
459,0.04832517
460,0.01764848
461,-0.01304484
462,-0.04372586
463,-0.07436570
464,-0.10493547
465,-0.13540639
466,-0.16574974
467,-0.19593695
468,-0.22593956
469,-0.25572932
470,-0.28527816
471,-0.31455825
472,-0.34354199
473,-0.37220209
474,-0.40051154
475,-0.42844368
476,-0.45597218
477,-0.48307113
478,-0.50971497
479,-0.53587863
480,-0.56153744
481,-0.58666723
482,-0.61124434
483,-0.63524560
484,-0.65864840
485,-0.68143070
486,-0.70357104
487,-0.72504855
488,-0.74584301
489,-0.76593482
490,-0.78530505
491,-0.80393546
492,-0.82180850
493,-0.83890732
494,-0.85521582
495,-0.87071863
496,-0.88540116
497,-0.89924956
498,-0.91225079
499,-0.92439260
500,-0.93566356
501,-0.94605304
502,-0.95555126
503,-0.96414927
504,-0.97183897
505,-0.97861312
506,-0.98446533
507,-0.98939009
508,-0.99338276
509,-0.99643958
510,-0.99855767
511,-0.99973503
512,-0.99997056
513,-0.99926403
514,-0.99761611
515,-0.99502835
516,-0.99150319
517,-0.98704395
518,-0.98165483
519,-0.97534091
520,-0.96810813
521,-0.95996332
522,-0.95091414
523,-0.94096912
524,-0.93013762
525,-0.91842986
526,-0.90585685
527,-0.89243046
528,-0.87816331
529,-0.86306887
530,-0.84716134
531,-0.83045571
532,-0.81296772
533,-0.79471385
534,-0.77571129
535,-0.75597795
536,-0.73553240
537,-0.71439393
538,-0.69258244
539,-0.67011847
540,-0.64702320
541,-0.62331837
542,-0.59902633
543,-0.57416995
544,-0.54877266
545,-0.52285838
546,-0.49645152
547,-0.46957696
548,-0.44226001
549,-0.41452643
550,-0.38640232
551,-0.35791419
552,-0.32908887
553,-0.29995353
554,-0.27053560
555,-0.24086281
556,-0.21096310
557,-0.18086465
558,-0.15059580
559,-0.12018509
560,-0.08966115
561,-0.05905274
562,-0.02838869
563,0.00230209
564,0.03299071
565,0.06364825
566,0.09424583
567,0.12475461
568,0.15514587
569,0.18539097
570,0.21546142
571,0.24532888
572,0.27496522
573,0.30434252
574,0.33343310
575,0.36220956
576,0.39064479
577,0.41871200
578,0.44638475
579,0.47363696
580,0.50044297
581,0.52677752
582,0.55261580
583,0.57793347
584,0.60270668
585,0.62691208
586,0.65052689
587,0.67352884
588,0.69589626
589,0.71760810
590,0.73864389
591,0.75898381
592,0.77860871
593,0.79750009
594,0.81564016
595,0.83301182
596,0.84959872
597,0.86538522
598,0.88035646
599,0.89449833
600,0.90779751
601,0.92024146
602,0.93181846
603,0.94251762
604,0.95232884
605,0.96124289
606,0.96925137
607,0.97634673
608,0.98252229
609,0.98777223
610,0.99209160
611,0.99547634
612,0.99792326
613,0.99943005
614,0.99999529
615,0.99961845
616,0.99829989
617,0.99604084
618,0.99284344
619,0.98871069
620,0.98364650
621,0.97765562
622,0.97074372
623,0.96291729
624,0.95418371
625,0.94455121
626,0.93402886
627,0.92262658
628,0.91035510
629,0.89722599
630,0.88325162
631,0.86844516
632,0.85282054
633,0.83639249
634,0.81917650
635,0.80118876
636,0.78244624
637,0.76296659
638,0.74276817
639,0.72186999
640,0.70029174
641,0.67805377
642,0.65517701
643,0.63168301
644,0.60759392
645,0.58293242
646,0.55772175
647,0.53198567
648,0.50574840
649,0.47903468
650,0.45186966
651,0.42427895
652,0.39628853
653,0.36792477
654,0.33921440
655,0.31018445
656,0.28086229
657,0.25127553
658,0.22145205
659,0.19141994
660,0.16120750
661,0.13084319
662,0.10035561
663,0.06977348
664,0.03912563
665,0.00844092
666,-0.02225175
667,-0.05292345
668,-0.08354530
669,-0.11408844
670,-0.14452409
671,-0.17482360
672,-0.20495840
673,-0.23490012
674,-0.26462054
675,-0.29409167
676,-0.32328573
677,-0.35217524
678,-0.38073296
679,-0.40893200
680,-0.43674580
681,-0.46414814
682,-0.49111321
683,-0.51761562
684,-0.54363039
685,-0.56913301
686,-0.59409946
687,-0.61850622
688,-0.64233029
689,-0.66554923
690,-0.68814117
691,-0.71008482
692,-0.73135952
693,-0.75194521
694,-0.77182250
695,-0.79097267
696,-0.80937768
697,-0.82702018
698,-0.84388357
699,-0.85995194
700,-0.87521016
701,-0.88964387
702,-0.90323945
703,-0.91598411
704,-0.92786583
705,-0.93887342
706,-0.94899651
707,-0.95822557
708,-0.96655190
709,-0.97396766
710,-0.98046585
711,-0.98604037
712,-0.99068595
713,-0.99439822
714,-0.99717368
715,-0.99900972
716,-0.99990461
717,-0.99985750
718,-0.99886845
719,-0.99693837
720,-0.99406909
721,-0.99026332
722,-0.98552464
723,-0.97985750
724,-0.97326726
725,-0.96576012
726,-0.95734315
727,-0.94802428
728,-0.93781230
729,-0.92671681
730,-0.91474828
731,-0.90191798
732,-0.88823799
733,-0.87372121
734,-0.85838132
735,-0.84223275
736,-0.82529073
737,-0.80757121
738,-0.78909089
739,-0.76986719
740,-0.74991820
741,-0.72926273
742,-0.70792023
743,-0.68591080
744,-0.66325520
745,-0.63997475
746,-0.61609139
747,-0.59162762
748,-0.56660648
749,-0.54105156
750,-0.51498691
751,-0.48843711
752,-0.46142716
753,-0.43398250
754,-0.40612900
755,-0.37789289
756,-0.34930077
757,-0.32037958
758,-0.29115656
759,-0.26165926
760,-0.23191544
761,-0.20195314
762,-0.17180059
763,-0.14148618
764,-0.11103849
765,-0.08048618
766,-0.04985805
767,-0.01918295
768,0.01151022
769,0.04219255
770,0.07283513
771,0.10340909
772,0.13388564
773,0.16423605
774,0.19443174
775,0.22444425
776,0.25424532
777,0.28380687
778,0.31310105
779,0.34210026
780,0.37077719
781,0.39910481
782,0.42705644
783,0.45460575
784,0.48172678
785,0.50839398
786,0.53458223
787,0.56026686
788,0.58542367
789,0.61002897
790,0.63405956
791,0.65749282
792,0.68030666
793,0.70247960
794,0.72399074
795,0.74481982
796,0.76494721
797,0.78435396
798,0.80302179
799,0.82093310
800,0.83807102
801,0.85441940
802,0.86996286
803,0.88468673
804,0.89857715
805,0.91162104
806,0.92380610
807,0.93512086
808,0.94555466
809,0.95509766
810,0.96374088
811,0.97147618
812,0.97829626
813,0.98419470
814,0.98916595
815,0.99320532
816,0.99630901
817,0.99847409
818,0.99969852
819,0.99998116
820,0.99932172
821,0.99772084
822,0.99518002
823,0.99170166
824,0.98728903
825,0.98194630
826,0.97567848
827,0.96849149
828,0.96039211
829,0.95138795
830,0.94148750
831,0.93070009
832,0.91903589
833,0.90650587
834,0.89312185
835,0.87889643
836,0.86384302
837,0.84797580
838,0.83130971
839,0.81386045
840,0.79564447
841,0.77667893
842,0.75698168
843,0.73657130
844,0.71546701
845,0.69368868
846,0.67125684
847,0.64819262
848,0.62451775
849,0.60025453
850,0.57542582
851,0.55005500
852,0.52416599
853,0.49778317
854,0.47093140
855,0.44363597
856,0.41592260
857,0.38781739
858,0.35934683
859,0.33053773
860,0.30141724
861,0.27201278
862,0.24235207
863,0.21246304
864,0.18237385
865,0.15211285
866,0.12170855
867,0.09118959
868,0.06058472
869,0.02992277
870,-0.00076737
871,-0.03145678
872,-0.06211656
873,-0.09271782
874,-0.12323173
875,-0.15362954
876,-0.18388263
877,-0.21396248
878,-0.24384076
879,-0.27348932
880,-0.30288023
881,-0.33198581
882,-0.36077862
883,-0.38923155
884,-0.41731779
885,-0.44501088
886,-0.47228474
887,-0.49911366
888,-0.52547238
889,-0.55133605
890,-0.57668032
891,-0.60148131
892,-0.62571565
893,-0.64936052
894,-0.67239363
895,-0.69479329
896,-0.71653840
897,-0.73760846
898,-0.75798364
899,-0.77764473
900,-0.79657322
901,-0.81475126
902,-0.83216174
903,-0.84878826
904,-0.86461514
905,-0.87962748
906,-0.89381114
907,-0.90715276
908,-0.91963976
909,-0.93126038
910,-0.94200367
911,-0.95185952
912,-0.96081863
913,-0.96887257
914,-0.97601375
915,-0.98223545
916,-0.98753179
917,-0.99189780
918,-0.99532936
919,-0.99782323
920,-0.99937706
921,-0.99998940
922,-0.99965966
923,-0.99838816
924,-0.99617610
925,-0.99302555
926,-0.98893949
927,-0.98392176
928,-0.97797709
929,-0.97111109
930,-0.96333022
931,-0.95464181
932,-0.94505404
933,-0.93457596
934,-0.92321743
935,-0.91098914
936,-0.89790263
937,-0.88397022
938,-0.86920503
939,-0.85362098
940,-0.83723274
941,-0.82005576
942,-0.80210622
943,-0.78340103
944,-0.76395780
945,-0.74379487
946,-0.72293121
947,-0.70138649
948,-0.67918101
949,-0.65633568
950,-0.63287203
951,-0.60881216
952,-0.58417874
953,-0.55899497
954,-0.53328458
955,-0.50707179
956,-0.48038129
957,-0.45323824
958,-0.42566820
959,-0.39769714
960,-0.36935141
961,-0.34065773
962,-0.31164312
963,-0.28233491
964,-0.25276072
965,-0.22294841
966,-0.19292607
967,-0.16272197
968,-0.13236457
969,-0.10188247
970,-0.07130439
971,-0.04065914
972,-0.00997558
973,0.02071737
974,0.05139081
975,0.08201584
976,0.11256359
977,0.14300531
978,0.17331230
979,0.20345601
980,0.23340806
981,0.26314021
982,0.29262446
983,0.32183303
984,0.35073842
985,0.37931337
986,0.40753098
987,0.43536466
988,0.46278819
989,0.48977574
990,0.51630188
991,0.54234161
992,0.56787041
993,0.59286424
994,0.61729953
995,0.64115327
996,0.66440300
997,0.68702680
998,0.70900336
999,0.73031198
1000,0.75093259
1001,0.77084575
1002,0.79003271
1003,0.80847540
1004,0.82615643
1005,0.84305915
1006,0.85916764
1007,0.87446672
1008,0.88894198
1009,0.90257978
1010,0.91536727
1011,0.92729241
1012,0.93834396
1013,0.94851152
1014,0.95778549
1015,0.96615715
1016,0.97361861
1017,0.98016283
1018,0.98578366
1019,0.99047580
1020,0.99423483
1021,0.99705720
1022,0.99894026
1023,0.99988223
1024,0.99988223
1025,0.99894026
1026,0.99705720
1027,0.99423483
1028,0.99047580
1029,0.98578366
1030,0.98016283
1031,0.97361861
1032,0.96615715
1033,0.95778549
1034,0.94851152
1035,0.93834396
1036,0.92729241
1037,0.91536727
1038,0.90257978
1039,0.88894198
1040,0.87446672
1041,0.85916764
1042,0.84305915
1043,0.82615643
1044,0.80847540
1045,0.79003271
1046,0.77084575
1047,0.75093259
1048,0.73031198
1049,0.70900336
1050,0.68702680
1051,0.66440300
1052,0.64115327
1053,0.61729953
1054,0.59286424
1055,0.56787041
1056,0.54234161
1057,0.51630188
1058,0.48977574
1059,0.46278819
1060,0.43536466
1061,0.40753098
1062,0.37931337
1063,0.35073842
1064,0.32183303
1065,0.29262446
1066,0.26314021
1067,0.23340806
1068,0.20345601
1069,0.17331230
1070,0.14300531
1071,0.11256359
1072,0.08201584
1073,0.05139081
1074,0.02071737
1075,-0.00997558
1076,-0.04065914
1077,-0.07130439
1078,-0.10188247
1079,-0.13236457
1080,-0.16272197
1081,-0.19292607
1082,-0.22294841
1083,-0.25276072
1084,-0.28233491
1085,-0.31164312
1086,-0.34065773
1087,-0.36935141
1088,-0.39769714
1089,-0.42566820
1090,-0.45323824
1091,-0.48038129
1092,-0.50707179
1093,-0.53328458
1094,-0.55899497
1095,-0.58417874
1096,-0.60881216
1097,-0.63287203
1098,-0.65633568
1099,-0.67918101
1100,-0.70138649
1101,-0.72293121
1102,-0.74379487
1103,-0.76395780
1104,-0.78340103
1105,-0.80210622
1106,-0.82005576
1107,-0.83723274
1108,-0.85362098
1109,-0.86920503
1110,-0.88397022
1111,-0.89790263
1112,-0.91098914
1113,-0.92321743
1114,-0.93457596
1115,-0.94505404
1116,-0.95464181
1117,-0.96333022
1118,-0.97111109
1119,-0.97797709
1120,-0.98392176
1121,-0.98893949
1122,-0.99302555
1123,-0.99617610
1124,-0.99838816
1125,-0.99965966
1126,-0.99998940
1127,-0.99937706
1128,-0.99782323
1129,-0.99532936
1130,-0.99189780
1131,-0.98753179
1132,-0.98223545
1133,-0.97601375
1134,-0.96887257
1135,-0.96081863
1136,-0.95185952
1137,-0.94200367
1138,-0.93126038
1139,-0.91963976
1140,-0.90715276
1141,-0.89381114
1142,-0.87962748
1143,-0.86461514
1144,-0.84878826
1145,-0.83216174
1146,-0.81475126
1147,-0.79657322
1148,-0.77764473
1149,-0.75798364
1150,-0.73760846
1151,-0.71653840
1152,-0.69479329
1153,-0.67239363
1154,-0.64936052
1155,-0.62571565
1156,-0.60148131
1157,-0.57668032
1158,-0.55133605
1159,-0.52547238
1160,-0.49911366
1161,-0.47228474
1162,-0.44501088
1163,-0.41731779
1164,-0.38923155
1165,-0.36077862
1166,-0.33198581
1167,-0.30288023
1168,-0.27348932
1169,-0.24384076
1170,-0.21396248
1171,-0.18388263
1172,-0.15362954
1173,-0.12323173
1174,-0.09271782
1175,-0.06211656
1176,-0.03145678
1177,-0.00076737
1178,0.02992277
1179,0.06058472
1180,0.09118959
1181,0.12170855
1182,0.15211285
1183,0.18237385
1184,0.21246304
1185,0.24235207
1186,0.27201278
1187,0.30141724
1188,0.33053773
1189,0.35934683
1190,0.38781739
1191,0.41592260
1192,0.44363597
1193,0.47093140
1194,0.49778317
1195,0.52416599
1196,0.55005500
1197,0.57542582
1198,0.60025453
1199,0.62451775
1200,0.64819262
1201,0.67125684
1202,0.69368868
1203,0.71546701
1204,0.73657130
1205,0.75698168
1206,0.77667893
1207,0.79564447
1208,0.81386045
1209,0.83130971
1210,0.84797580
1211,0.86384302
1212,0.87889643
1213,0.89312185
1214,0.90650587
1215,0.91903589
1216,0.93070009
1217,0.94148750
1218,0.95138795
1219,0.96039211
1220,0.96849149
1221,0.97567848
1222,0.98194630
1223,0.98728903
1224,0.99170166
1225,0.99518002
1226,0.99772084
1227,0.99932172
1228,0.99998116
1229,0.99969852
1230,0.99847409
1231,0.99630901
1232,0.99320532
1233,0.98916595
1234,0.98419470
1235,0.97829626
1236,0.97147618
1237,0.96374088
1238,0.95509766
1239,0.94555466
1240,0.93512086
1241,0.92380610
1242,0.91162104
1243,0.89857715
1244,0.88468673
1245,0.86996286
1246,0.85441940
1247,0.83807102
1248,0.82093310
1249,0.80302179
1250,0.78435396
1251,0.76494721
1252,0.74481982
1253,0.72399074
1254,0.70247960
1255,0.68030666
1256,0.65749282
1257,0.63405956
1258,0.61002897
1259,0.58542367
1260,0.56026686
1261,0.53458223
1262,0.50839398
1263,0.48172678
1264,0.45460575
1265,0.42705644
1266,0.39910481
1267,0.37077719
1268,0.34210026
1269,0.31310105
1270,0.28380687
1271,0.25424532
1272,0.22444425
1273,0.19443174
1274,0.16423605
1275,0.13388564
1276,0.10340909
1277,0.07283513
1278,0.04219255
1279,0.01151022
1280,-0.01918295
1281,-0.04985805
1282,-0.08048618
1283,-0.11103849
1284,-0.14148618
1285,-0.17180059
1286,-0.20195314
1287,-0.23191544
1288,-0.26165926
1289,-0.29115656
1290,-0.32037958
1291,-0.34930077
1292,-0.37789289
1293,-0.40612900
1294,-0.43398250
1295,-0.46142716
1296,-0.48843711
1297,-0.51498691
1298,-0.54105156
1299,-0.56660648
1300,-0.59162762
1301,-0.61609139
1302,-0.63997475
1303,-0.66325520
1304,-0.68591080
1305,-0.70792023
1306,-0.72926273
1307,-0.74991820
1308,-0.76986719
1309,-0.78909089
1310,-0.80757121
1311,-0.82529073
1312,-0.84223275
1313,-0.85838132
1314,-0.87372121
1315,-0.88823799
1316,-0.90191798
1317,-0.91474828
1318,-0.92671681
1319,-0.93781230
1320,-0.94802428
1321,-0.95734315
1322,-0.96576012
1323,-0.97326726
1324,-0.97985750
1325,-0.98552464
1326,-0.99026332
1327,-0.99406909
1328,-0.99693837
1329,-0.99886845
1330,-0.99985750
1331,-0.99990461
1332,-0.99900972
1333,-0.99717368
1334,-0.99439822
1335,-0.99068595
1336,-0.98604037
1337,-0.98046585
1338,-0.97396766
1339,-0.96655190
1340,-0.95822557
1341,-0.94899651
1342,-0.93887342
1343,-0.92786583
1344,-0.91598411
1345,-0.90323945
1346,-0.88964387
1347,-0.87521016
1348,-0.85995194
1349,-0.84388357
1350,-0.82702018
1351,-0.80937768
1352,-0.79097267
1353,-0.77182250
1354,-0.75194521
1355,-0.73135952
1356,-0.71008482
1357,-0.68814117
1358,-0.66554923
1359,-0.64233029
1360,-0.61850622
1361,-0.59409946
1362,-0.56913301
1363,-0.54363039
1364,-0.51761562
1365,-0.49111321
1366,-0.46414814
1367,-0.43674580
1368,-0.40893200
1369,-0.38073296
1370,-0.35217524
1371,-0.32328573
1372,-0.29409167
1373,-0.26462054
1374,-0.23490012
1375,-0.20495840
1376,-0.17482360
1377,-0.14452409
1378,-0.11408844
1379,-0.08354530
1380,-0.05292345
1381,-0.02225175
1382,0.00844092
1383,0.03912563
1384,0.06977348
1385,0.10035561
1386,0.13084319
1387,0.16120750
1388,0.19141994
1389,0.22145205
1390,0.25127553
1391,0.28086229
1392,0.31018445
1393,0.33921440
1394,0.36792477
1395,0.39628853
1396,0.42427895
1397,0.45186966
1398,0.47903468
1399,0.50574840
1400,0.53198567
1401,0.55772175
1402,0.58293242
1403,0.60759392
1404,0.63168301
1405,0.65517701
1406,0.67805377
1407,0.70029174
1408,0.72186999
1409,0.74276817
1410,0.76296659
1411,0.78244624
1412,0.80118876
1413,0.81917650
1414,0.83639249
1415,0.85282054
1416,0.86844516
1417,0.88325162
1418,0.89722599
1419,0.91035510
1420,0.92262658
1421,0.93402886
1422,0.94455121
1423,0.95418371
1424,0.96291729
1425,0.97074372
1426,0.97765562
1427,0.98364650
1428,0.98871069
1429,0.99284344
1430,0.99604084
1431,0.99829989
1432,0.99961845
1433,0.99999529
1434,0.99943005
1435,0.99792326
1436,0.99547634
1437,0.99209160
1438,0.98777223
1439,0.98252229
1440,0.97634673
1441,0.96925137
1442,0.96124289
1443,0.95232884
1444,0.94251762
1445,0.93181846
1446,0.92024146
1447,0.90779751
1448,0.89449833
1449,0.88035646
1450,0.86538522
1451,0.84959872
1452,0.83301182
1453,0.81564016
1454,0.79750009
1455,0.77860871
1456,0.75898381
1457,0.73864389
1458,0.71760810
1459,0.69589626
1460,0.67352884
1461,0.65052689
1462,0.62691208
1463,0.60270668
1464,0.57793347
1465,0.55261580
1466,0.52677752
1467,0.50044297
1468,0.47363696
1469,0.44638475
1470,0.41871200
1471,0.39064479
1472,0.36220956
1473,0.33343310
1474,0.30434252
1475,0.27496522
1476,0.24532888
1477,0.21546142
1478,0.18539097
1479,0.15514587
1480,0.12475461
1481,0.09424583
1482,0.06364825
1483,0.03299071
1484,0.00230209
1485,-0.02838869
1486,-0.05905274
1487,-0.08966115
1488,-0.12018509
1489,-0.15059580
1490,-0.18086465
1491,-0.21096310
1492,-0.24086281
1493,-0.27053560
1494,-0.29995353
1495,-0.32908887
1496,-0.35791419
1497,-0.38640232
1498,-0.41452643
1499,-0.44226001
1500,-0.46957696
1501,-0.49645152
1502,-0.52285838
1503,-0.54877266
1504,-0.57416995
1505,-0.59902633
1506,-0.62331837
1507,-0.64702320
1508,-0.67011847
1509,-0.69258244
1510,-0.71439393
1511,-0.73553240
1512,-0.75597795
1513,-0.77571129
1514,-0.79471385
1515,-0.81296772
1516,-0.83045571
1517,-0.84716134
1518,-0.86306887
1519,-0.87816331
1520,-0.89243046
1521,-0.90585685
1522,-0.91842986
1523,-0.93013762
1524,-0.94096912
1525,-0.95091414
1526,-0.95996332
1527,-0.96810813
1528,-0.97534091
1529,-0.98165483
1530,-0.98704395
1531,-0.99150319
1532,-0.99502835
1533,-0.99761611
1534,-0.99926403
1535,-0.99997056
1536,-0.99973503
1537,-0.99855767
1538,-0.99643958
1539,-0.99338276
1540,-0.98939009
1541,-0.98446533
1542,-0.97861312
1543,-0.97183897
1544,-0.96414927
1545,-0.95555126
1546,-0.94605304
1547,-0.93566356
1548,-0.92439260
1549,-0.91225079
1550,-0.89924956
1551,-0.88540116
1552,-0.87071863
1553,-0.85521582
1554,-0.83890732
1555,-0.82180850
1556,-0.80393546
1557,-0.78530505
1558,-0.76593482
1559,-0.74584301
1560,-0.72504855
1561,-0.70357104
1562,-0.68143070
1563,-0.65864840
1564,-0.63524560
1565,-0.61124434
1566,-0.58666723
